,id_registro,arco,longitud,latitud,carga
8971,8972,2010-3801,-75.57668927630671,6.332030880063907,4066.0
8972,8973,2010-3801,-75.57663549528816,6.332069060718952,4066.0
8973,8974,2010-3801,-75.5765817142696,6.332107241373999,4066.0
8974,8975,2010-3801,-75.57652793325104,6.332145422029043,4066.0
8975,8976,2010-3801,-75.57609000209995,6.332198874943612,4066.0
8976,8977,2010-3801,-75.57647415223248,6.33218360268409,4066.0
8977,8978,2010-3801,-75.57637811469937,6.332187420748969,4066.0
8978,8979,2010-3801,-75.57628207716623,6.3321912388138495,4066.0
8979,8980,2010-3801,-75.57618603963309,6.3321950568787315,4066.0
8980,8981,2010-3801,-75.57596707405753,6.3321683304240945,4066.0
8981,8982,2010-3801,-75.57609000209995,6.332198874943612,4066.0
8982,8983,2010-3801,-75.57605927008936,6.332191238813733,4066.0
8983,8984,2010-3801,-75.57602853807875,6.3321836026838545,4066.0
